,Tweet
0,"@qNitQoo9dm6Dw2g المفروض ركزت الله يحفظك😂😂
اليوم 31 / 12 / 2021
بكرة السبت السنة الجديدة 
تاريخ 1 / 1 / 2022
الاحد اول يوم دراسي في عام 2022"
1,"@m7YOFV7y0VuQlqE اليوم 31 / 12 / 2021
بكرة السبت السنة الجديدة 
تاريخ 1 / 1 / 2022
الاحد اول يوم دراسي في عام 2022
يارب وصلت الفكره😂😂😂"
2,@almalke_20020 ما في الفار طاهر
3,@ll_ll_l_l_ll_l عنز تناطح جبل
4,@loord5752 ضد ايران بعد ماسلموا العراق لها وذبحتهم ذبح نعاج وعرف ان لا قيمة لهم عندها ولا وزن لكن كرههم للسعودية عقيدة يؤمنون بها
5,@Hussain112_ @election2020P افتى لكم شيخك السستاني مقابل 200 مليون دولار بأن تقاتلوا في صف الامويكان وعدم الدفاع عن العراق فسقطت بيد الامريكان الذين سلموها لايران بسبب عمالة وخيانة الشيعة امثالك
6,"مادافع عن عرضه عشان يدافع عن الخليج هذا الرافضي مستباح عرضة للفرس المجوس وخان رئيسه وبلده وسلمها لامريكا وايران
اما الخليجيين فلا يؤثر فيهم نباحه هو واي كلب من كلاب الفرس المجوس
والخطأ ان يستضاف اي ذيل ايراني في قنواتنا الخليجية https://t.co/fDGB14IDu4"
7,@n00nader لا تقول انك تجحفلت😉😂
8,@jotem2009 ابداً والله 😂😂
9,@yKsaxSTDKC0ad3M احسنت
10,"@Noor66nn حقد الرافضة على اهل السنة اشد من حقد كل الملل على وجه الارض مجتمعة ويبيحون دمائهم واموالهم وظلمهم
حسبنا الله ونعم الوكيل"
11,@Mhmdalharbe11 صدقني هم عارفين واضح المعنى الله يجزاك خير😄 واكيد متوقعينها طقطقة منك😁
12,"@_Jawikhany @Tarih000 الجزائر قبلتهم شرق وليس غرب
غرب يصلون متوجهين للرباط😄"
13,@_Jawikhany @Tarih000 اذا كلامك صحيح المفروض الشمس تكون خلفه لان قبلتهم شرق ويكون ظله امامه
14,@B270m 😂😂😂
15,@FeX33vGuCLLelrN عن بعد اذا استمرينا هالاسبوع في زياده فأكيد راح يكون عن بعد
16,@AnwerKhiri احسنت👌
17,@FeX33vGuCLLelrN اليوم 2021 اجازة بكره سنة 2022 يعني يوم الاحد يرجع الدوام😁
18,@aamansour2014 احسنت
19,@nina7_m اعتذر😁
20,@xhFF9pyqU8Qdlkd لي الشرف الله يسعدك
21,"@Alaa20Z مين يديرهم؟
 اصحاب العمايم في ايران
اللي يدير الحوثي ونصر الشيطان وعمايم العراق من المالكي والسستاني والصدر والحكيم وغيرهم اليست مرجعيتهم الولي السفيه في ايران؟‼️"
22,@h_yhs 😂😂😂
23,"@aadel_alkhaldii افاااا ياعادل ميب بينا😂😂😂
خل دعواتنا لبعض في جميع الظروف😂😂"
24,@bu_kandar68 @Silly2000_55 @DAutWnHvLEHxW4A 🤪
25,"@drobrimy 🤪
اليوم 2021 اجازة بكره سنة 2022 يعني يوم الاحد يرجع الدوام😁"
26,@Maistrooo502 متوقعه😂😂
27,"@Maistrooo502 😂😂😂😂
كانت ذكريات سيئة الحمدلله انه مافيه حظر"
28,"@Its_anaa_ 😂😂😂😂 اسف يابوسعود على هالمقاب
المفروض دققت في التاريخ عشان تعرف ان السنة الجديده بكرة😂😂"
29,@128_wedad 😂😂😂😂
30,"@for_you_my_god اليوم 31 / 12 / 2021
بكرة السبت السنة الجديدة 
تاريخ 1 / 1 / 2022
يارب وصلت الفكره😂😂😂"
31,@for_you_my_god لا بالعكس حقيقة لان الاحد القادم تكون دخلت سنة 2022😄
32,"@sssmalki الله يصلحهم ويجعلهم قرة عين
جيل صعب تلعب عليه😂😂"
33,@7M28kKkWoxlcmhN ابو هاشم لازم تدقق في اي شي تقرأه😂😂
34,@wao0oda آمين وياك
35,@nina7_m هذي حقيقة موب اشاعة الاحد القادم نكون دخلنا سنة 2022😄
36,@iiinf_8 آمين ويحفظ لك احبابك
37,@h_yhs ياخي انت موهبه بس للاسف مافيه احد استكشفك😂😂😂
38,@sssmalki 😂😂😂
39,@mjas987651 😂😂😂
40,@khalid1396 @Abdullahgih8 😂😂😂😂😂
41,"@Thatisme_sara ليش مايكون فيه دعابة وابتسامة😄
احنا اللي نحدد ممكن ناخذ الجانب الايجابي ونكون مبسوطين وممكن ناخذ الجانب السلبي ويتكدر يومنا😉"
42,@sutsut0101 😂😂😂
43,@DAutWnHvLEHxW4A آمين
44,@hanadisaa12 بالعكس مافيها فشله مجرد طرفة😁
45,@H000r1111 طرفة ودعابة لبناتنا الله يحفظهم ويسعدهم ويوفقهم
46,@mjas987651 😂😂😂
47,@9azzza9 ماراح نمشي في طين والاسفلت بداية المطر يكون زلق عشان زيوت السيارات وبعد مايغسلة المطر يصير طبيعي
48,@Thatisme_sara هذا النوع لتنشيط المخ والذاكرة😂😂
49,@hanadisaa12 😂😂😂
50,"@hanadisaa12 صحيح
الاحد القادم تكون دخلت سنة 2022😁"
51,"@Abdullahgih8 فيه تعليم بهالرسالة
عشان تتأمل كل رسالة توصلك وتمحصها وتعرف صحتها قبل لا ترسلها 😂"
